ID,Question (English),Options (English),Correct Answer,Question (Spanish),Options (Spanish)
1182,What triggers the automated maintenance of a table's clustering key after it has been defined?,"A. A scheduled task established by the ORGADMIN.
B. A time-based schedule set by the user.
C. A Snowflake determination based on the table size.
D. A Snowflake determination that the table will benefit from maintenance.",D,,
1186,How does Snowflake optimize queries on tables by leveraging the sorting and storage of data within micro-partitions?,"A. The data is pruned by column to eliminate unnecessary micro-partitions, then the rows within the remaining micro-partitions are filtered.
B. The data is pruned by micro-partitions based on column values, then rows within the remaining micro-partitions are filtered.
C. Any micro-partitions that are not needed for the query are pruned, then the data within the remaining micro-partitions is pruned by column.
D. The data within micro-partitions is sorted by rows, then the columns are filtered based on the query conditions.",B,,
1188,What role should be used when creating a new user?,"A. ORGADMIN
B. SECURITYADMIN
C. USERADMIN
D. SYSADMIN",C,,
1189,Which ACCOUNT_USAGE view will identify long-running queries?,"A. DATA_TRANSFER_HISTORY
B. TASK_HISTORY
C. QUERY_HISTORY
D. METERING_DAILY_HISTORY",C,,
1190,"When sharing data among multiple Snowflake accounts, what charges are incurred by a data consumer when viewing shared data using their own account?","A. Cloud services charges
B. Compute charges
C. Data storage charges
D. Data egress charges",,,
1191,What is the MINIMUM Snowflake edition required to use the query acceleration service?,"A. Standard
B. Enterprise
C. Business Critical
D. Virtual Private Snowflake (VPS)",B,,
1192,Which objects can be cloned in Snowflake? (Choose two.),"A. Virtual warehouses
B. Internal named stages
C. External named stages
D. Dynamic tables
E. External tables",BD,,
1193,What happens to foreign key constraints when a table is cloned to another database?,"A. All referenced tables will be cloned.
B. The cloned table will reference the primary key in the source table.
C. The cloned table will lose all references to the primary key.
D. The cloned table will lose all references to the foreign and primary keys",B,,
1194,"What step must be taken to ensure that a user can only access Snowsight from a specific location, or when working from home?","A. Use a company Virtual Private Network (VPN) connection.
B. Use Multi-Factor Authentication (MFA).
C. Use Single Sign-On (SSO).
D. Add the user's IP address to the network policy allowed list.",,,
1195,What actions will trigger a data pipe to load? (Choose two.),"A. Use of an INSERT statement
B. Use of a COPY INTO [table] statement
C. Use of the insertFiles REST endpoint
D. Use of the insertReport REST endpoint
E. Set the pipe parameter to auto-ingest",CE,,
1196,What does a Query Profile metric that shows excessive spillage indicate?,"A. Poor query optimization
B. Expired temporary tables
C. Improper virtual warehouse sizing
D. Improper Common Table Expressions (CTEs)
Hide Answer
by  MultiCloudIronMan at Jan. 9, 2025, 7:48 p.m.
Comments
Billhardy2 months, 2 weeks ago
Selected Answer: C
Excessive spillage in the Query Profile—where intermediate data “spills” from RAM to SSD or even remote cloud storage—means your warehouse
ran out of memory for the query. In other words, it’s a clear sign of improper virtual warehouse sizing (option C), not an issue with CTEs, temporary
tables, or general query logic.
When a warehouse’s RAM is exhausted during sorts, joins, or aggregations, Snowflake writes intermediate blocks to local SSD (and then to remote
storage if needed), which shows up as high “Bytes Spilled” in the profile.
Spillage to local or remote storage drastically slows execution and indicates you need a larger warehouse (more memory) to keep data in‑memory.
Snowflake documentation and community best practices uniformly recommend increasing warehouse size if you observe significant spillage
metrics.
upvoted 1 times
ywan16004 months, 1 week ago
Selected Answer: C
C. Improper virtual warehouse sizing.",A,,
1197,A query is using more credits than expected. The Query Profile shows that a majority of the query execution is spent on remote disk I/O. How can this be prevented in the future?,"A. Convert the virtual warehouse to Maximized mode.
B. Increase the size of the virtual warehouse.
C. Increase the auto suspend time in the virtual warehouse.
D. Increase the number of clusters in the virtual warehouse.",B,,
1198,"In a SPLIT_PART function, what will the returned value be if the partNumber is out of range?","A. −1
B. An empty string
C. The full string
D. An error",B,,
1199,From which locations can data files be downloaded using the GET command? (Choose two.),"A. External stage
B. Table stage
C. User stage
D. Directory table
E. Permanent table",BC,,
1200,What Snowflake features are recommended to restrict unauthorized users from accessing Personal Identifiable Information (PI)? (Choose two.),"A. Dynamic Data Masking
B. Transient tables
C. Secure views
D. Multi-Factor Authentication (MFA)
E. Data encryption",AC,,
1201,Which Snowflake keywords help retrieve data without the need to completely scan a table? (Choose two.),"A. TOP [n]
B. LIMIT
C. FETCH
D. SAMPLE
E. TABLESAMPLE","D,E",,
1203,"A complex query has been running in Snowsight for more than one hour. At the same time, several other queries from other worksheets ran successfully. What is FASTEST way to cancel the long-running query?","A. Immediately suspend the virtual warehouse that the query is running on.
B. Return to the worksheet and abort the query.
C. Set the auto_suspend virtual warehouse property to 0.
D. Find the query in the query activity view and cancel the query.",B,,
1204,How can a Snowflake user automate virtual warehouse operations for optimal credit consumption? (Choose two.),"A. Auto-resume when a query is in a queue.
B. Auto-resume after a set time period.
C. Auto-suspend while the query is being written.
D. Auto-suspend after a set time period.
E. Auto-suspend after a specified period of inactivity.","A,E",,
1205,Which data protection feature should only be used when all other data recovery options have been attempted?,"A. Time Travel
B. Cloning
C. Replication
D. Fail-safe",D,,
1206,A single cluster virtual warehouse has no free resources. What will happen to new queries that are run against this warehouse?,"A. The queries will be assigned to another virtual warehouse.
B. The queries will be skipped.
C. The queries will be placed in a queue.
D. The warehouse will automatically resize and execute the queries.",C,,
1207,How does the search optimization service improve query performance?,"A. By clustering the tables
B. By creating a persistent data structure
C. By using caching
D. By optimizing the use of micro-partitions",B,,
1208,Use of what parameter will allow files to be loaded even if the file metadata has expired?,"A. MATCH_BY_COLUMN_NAME = CASE_INSENSITIVE
B. ENFORCE_LENGTH = TRUE
C. PURGE = TRUE
D. LOAD_UNCERTAIN_FILES = TRUE",D,,
1209,How can a Data Exchange Administrator provide a user with account access to a Data Exchange?,"A. Grant the user the USERADMIN role.
B. Add the user to the Data Exchange.
C. Enable the IMPORT SHARE privilege and grant this privilege to the user.
D. Create a new database for the Data Exchange and provide access to the user.",C,,
1210,Which features can be used with the Snowflake Standard edition? (Choose two.),"A. Materialized views
B. External functions
C. Multi-cluster virtual warehouses
D. Fail-safe
E. Row-level security","B,D",,
1212,What are valid values for the FIELD_OPTIONALLY_ENCLOSED_BY option in the COPY INTO [location] command used during data unloading? (Choose two.),"A. Single quote character (')
B. NULL
C. 'NULL'
D. NONE
E. 'NONE'",AD,,
1213,What identifiers are supported when creating a Snowflake account hostname? (Choose two.),"A. Cloud region
B. Snowflake domain
C. Account name
D. Account locator
E. Account cloud platform",AD,,
1214,"Which virtual warehouse auto-suspend configurations will result in a warehouse that runs continually, 24 hours a day, 7 days a week? (Choose two.)","A. −1
B. 0
C. 86400
D. 172800
E. NULL","B,E",,
1215,What kind of value does a User-Defined Function (UDF) return? (Choose two.),"A. Dictionary
B. List
C. Object
D. Scalar
E. Tabular",DE,,
1217,Which database objects can be shared with Secure Data Sharing? (Choose two.),"A. Views
B. Materialized views
C. External stages
D. External tables
E. Dynamic tables","D,E",,
1218,"When a transient table in Snowflake is dropped, what happens to the table?","A. The table is no longer available for use.
B. The table can be undropped using Fail-safe.
C. The table can be recovered for 1 day only and after that it is no longer available.
D. The table can be recovered only with the assistance of Snowflake Support.",C,,
1219,A data provider needs to securely collaborate with data consumers who do not reside in the same region. What Snowflake sharing mechanism should be used?,"A. Direct share
B. Data Exchange
C. Data replication
D. Listing",B,,
1220,"A user needs to know the maximum value of a date field in a table, and runs the following query: select max(o_orderdate) from ORDERS; Which part of Snowflake architecture will this query use?","A. Database Storage
B. Query Processing
C. Cloud Services
D. Compute",C,,
1222,"When cloning a schema, which Snowflake object will not be included in the clone?","A. An external stage
B. A named internal stage
C. A task
D. A User-Defined Function (UDF)",A,,
1223,Which command will change the name of shared database role r1 to r4?,"A. ALTER ROLE d1.r1 RENAME TO d1.r4;
B. ALTER ROLE d1.r1 RENAME TO d2.r4;
C. ALTER DATABASE ROLE d1.r1 RENAME TO d2.r4;
D. ALTER DATABASE ROLE d1.r1 RENAME TO d1.r4;",D,,
1224,What does the Remote Disk I/O statistic in the Query Profile indicate?,"A. Time spent reading from the result cache.
B. Time spent reading from the virtual warehouse cache.
C. Time when the query processing was blocked by remote disk access.
D. The level of network activity between the Cloud Services layer and the virtual warehouse.",C,,
1226,Which role has the privileges to describe a share?,"A. ORGADMIN
B. SECURITYADMIN
C. SYSADMIN
D. ACCOUNTADMIN",D,,
1227,This command is executed: CREATE TABLE new_table CLONE existing_table COPY GRANT; What will happen to the privileges of any cloned objects?,"A. The clone will only inherit SELECT privileges from the source object.
B. The clone will inherit all privileges, including OWNERSHIP, from the source object.
C. The clone will inherit all privileges except OWNERSHIP from the source object.
D. The clone will not inherit any privileges from the source object.",C,,
1229,What is the default authenticator while using the JDBC driver connection in Snowflake?,"A. externalbrowser
B. snowlake
C. username_password_mfa
D. snowflake_jwt",B,,
1230,When will Snowflake charge credits for the use of the Cloud Services layer?,"A. Credits will be charged whenever the Cloud Services layer is used.
B. Credits will be charged only when running a Snowflake-provisioned compute warehouse COMPUTE_WH.
C. Credits will be charged when the daily consumption of cloud services resources exceeds 10% of the daily warehouse usage.
D. Credits will be charged only when a virtual warehouse consumes serverless compute services.",C,,
1232,How can the performance of queries run on external tables be optimized?,"A. Cluster the tables
B. Create materialized views on the tables
C. Use the metadata cache
D. Enable the search optimization service",B,,
1233,What are the recommended alternative data types in Snowflake for unsupported large object data types such as BLOB and CLOB? (Choose two.),"A. VARIANT
B. ARRAY
C. BINARY
D. OBJECT
E. VARCHAR","C,E",,
1234,A network policy set at which level will override all other network policies?,"A. Account
B. User
C. Security integration
D. Database",B,,
1235,A company needs to share sales data with multiple marketing agency partners. Which Snowflake data share mechanism is recommended for this use case?,"A. A shared Amazon S3 bucket
B. Direct share
C. A reader account
D. Data Exchange",C,,
1236,Which role can create and manage Snowflake accounts?,"A. SYSADMIN
B. ACCOUNTADMIN
C. ORGADMIN
D. SECURITYADMIN",C,,
1238,"A table named car_sales contains a single VARIANT column named src. Below is the output of the query SELECT * FROM car_sales; Which queries will return the element ""phone number"" from the data? (Choose two.)","A. SELECT src:customer.’phone number’ FROM car_sales;
B. SELECT SRC:customer.""phone number"" FROM car_sales;
C. SELECT src:customer.""phone number"" FROM car_sales;
D. SELECT SRC:customer.phone number FROM car_sales;
E. SELECT SRC:CUSTOMER.""phone number"" FROM car_sales;","B,C",,
1239,Which strings will be converted to TRUE using the TO_BOOLEAN() or CAST() functions when unloading data? (Choose two.),"A. 0
B. n
C. no
D. on
E. yes",DE,,
1240,Which authentication method requires access to a secure file that is only stored on the user's local device?,"A. Password authentication
B. Key-pair authentication
C. Multi-Factor Authentication (MFA)
D. Federated authentication",B,,
1242,"If a source table is updated while cloning is in progress, what data will be included in the cloned table?","A. All data from the timestamp when the user runs the query.
B. All data from the timestamp when the user session was created.
C. All data from the timestamp when the clone statement was initiated.
D. All data from the timestamp when the clone statement was completed.",C,,
1243,The CUSTOMER table in the T1 database is accidentally dropped. Which privileges are required to restore this table? (Choose two.),"A. SELECT privilege on the CUSTOMER table
B. OWNERSHIP privilege on the CUSTOMER table
C. All privileges on the CUSTOMER table
D. All privileges on the T1 database
E. CREATE TABLE privilege on the T1 database",B,,
1244,Which ACCOUNT_USAGE view can be used to identify the masking policy assigned to an object?,"A. ACCESS_HISTORY
B. OBJECT_DEPENDENCIES
C. POLICY_REFERENCES
D. TAG_REFERENCES",C,,
1245,A stream object will advance its offset when it is used in which statement?,"A. SELECT
B. INSERT
C. CREATE
D. COPY INTO [location]",,,
1247,What does an integration between Snowflake and Microsoft Private Link or AWS PrivateLink support?,"A. The isolation of data within a Snowflake account.
B. The use of Secure Data Sharing among Snowflake accounts.
C. A Virtual Private Network (VPN) between a user and Snowflake.
D. A secure, direct connection to Snowflake that does not use the internet.",,,
1248,Which type of URL gives permanent access to files in cloud storage?,"A. Pre-signed URL
B. Account URL
C. Scoped URL
D. File URL",D,,
1249,Which Snowflake data governance feature supports resource usage monitoring?,"A. Data classification
B. Column lineage
C. Access history
D. Object tagging",D,,
1251,Which functions can be used to identify the data type stored in a VARIANT column? (Choose two.),"A. IS_NULL_VALUE
B. IS_DATE_VALUE
C. IS_GEOGRAPHY
D. IS_XML
E. IS_JSON",BD,,
1252,What is the MINIMUM Snowflake edition that supports data sharing?,"A. Standard
B. Enterprise
C. Business Critical
D. Virtual Private Snowflake (VPS)",A,,
1254,How can data be shared between two users who have different Snowflake accounts?,"A. Create a share with the same name as the original database.
B. Create a share and ensure the proper role is assigned to the share.
C. Ensure both users’ accounts are using the same cloud provider and region.
D. Use the PUT command to create a shared account.",B,,
1255,Which view will show the MOST recent information about table-level storage utilization?,"A. The TABLE_STORAGE_METRICS view in a Snowflake data share
B. The TABLE_STORAGE_METRICS view in the ACCOUNT_USAGE schema
C. The TABLE_STORAGE_METRICS view in the INFORMATION_SCHEMA
D. The STORAGE_USAGE_HISTORY view in the INFORMATION_SCHEMA",C,,
1256,A user executed a SELECT query in Snowsight which returned a 1 GB result set. The user then downloads the files. What will occur?,"A. The result set will be successfully downloaded from Snowsight.
B. The result set will be automatically compressed and the data will be downloaded as individual files.
C. The download will fail because the result set needs to be broken up into files no greater than 50 MB before downloading.
D. The download will result in an error because the filters of the SELECT query need to be changed so that Snowsight returns a smaller result
set.",A,,
1257,Which command can be used to unload data into an external named stage in Snowflake?,"A. PUT
B. CREATE [object]
C. COPY INTO [table]
D. COPY INTO [location]","C,D",,
1258,Which file format option should be used when unloading data into a stage to create a CSV or a JSON file?,"A. PARSE_HEADER
B. TRIM_SPACE
C. FILE_EXTENSION
D. SKIP_HEADER
Hide Answer
by  MultiCloudIronMan at Jan. 10, 2025, 10:51 a.m.
Comments
Billhardy2 months, 2 weeks ago
Selected Answer: C
When unloading data into a stage in Snowflake, the FILE_EXTENSION file format option specifies the extension for the output files (e.g., .csv for CSV
files or .json for JSON files). While the TYPE parameter (e.g., CSV or JSON) defines the format itself, FILE_EXTENSION explicitly controls the file
extension. This ensures the output files are saved with the correct format-specific suffix.
Why the other options are incorrect:
A. PARSE_HEADER: Used during data loading (not unloading) to parse headers in CSV files.
B. TRIM_SPACE: Trims whitespace during data loading, irrelevant to unloading.
D. SKIP_HEADER: Skips header rows during loading, not applicable to unloading.
FILE_EXTENSION is the only option directly tied to defining the output file format when unloading data.
upvoted 2 times
Snowflake Discussions
Exam SnowPro Core All Questions
View all questions & answers for the SnowPro Core exam
Go to Exam
EXAM SNOWPRO CORE TOPIC 1 QUESTION 1259 DISCUSSION
Actual exam question from Snowflake's SnowPro Core",C,,
1259,"When creating a virtual warehouse, what setting should be used to avoid both over-provisioning resources and auto-scaling when there is increased concurrency?","A. WAREHOUSE_SIZE = LARGE
B. WAREHOUSE_TYPE = SNOWPARK-OPTIMIZED
C. MAX_CLUSTER_COUNT =10
D. ENABLE_QUERY_ACCELERATION = TRUE",C,,
1260,What is the MINIMUM Snowflake edition required to add masking policies to selectively mask plain-text data in a table or in view columns at query time?,"A. Standard
B. Enterprise
C. Business Critical
D. Virtual Private Snowflake (VPS)",B,,
1261,Which command can be used to determine if data from a file has been previously loaded?,"A. COPY_HISTORY
B. DATA_TRANSFER_HISTORY
C. WAREHOUSE_LOAD_HISTORY
D. STAGE_STORAGE_USAGE_HISTORY",A,,
1262,What does Snowflake recommend when configuring the auto-suspend parameter for a virtual warehouse?,"A. Set auto-suspend to the maximum possible duration for optimal resource utilization.
B. Enable auto-suspend to a high value to maximize warehouse availability.
C. Enable auto-suspend to a low value to minimize credit consumption during inactivity.
D. Disable auto-suspend to ensure continuous availability of the warehouse.",C,,
1263,"Which URL identifies the database, schema, stage, and file path to a set of files for accessing the unstructured data files in Snowflake?","A. Scoped URL
B. File URL
C. Pre-signed URL
D. HTTPS URL",B,,
1265,Which URL type should be used for custom applications that need to access unstructured data files?,"A. Scoped URL
B. File URL
C. Pre-signed URL
D. Relative URL",B,,
1266,When would creating and using a standard view be preferable to using a materialized view?,"A. The underlying query of the view takes a lot of time to run.
B. The underlying query of the view is resource-intensive.
C. The underlying query of the view is run on large data sets.
D. The view results change often.",D,,
1267,"When using a direct share, what privileges does a role need to control access to the objects that are in a share that is using database roles? (Choose two.)","A. CREATE PIPE
B. CREATE STREAM
C. CREATE TASK
D. CREATE SHARE
E. CREATE DATABASE",DE,,
1268,What actions can be performed by consumers of shared databases? (Choose two.),"A. Create a clone of the database.
B. Edit the comments for the database.
C. Query Time Travel data on the database.
D. Create streams on objects in the database.
E. Query data from the objects in the database.",D,,
1269,A Snowflake user is actively logged into Snowflake when a user-level network policy is assigned to that user. What will Snowflake do if the user's IP address does not match the user-level network policy rules?,"A. Log the user out.
B. Deactivate the network policy.
C. Prevent the user from executing additional queries.
D. Allow the user to continue until the session or login token expires.",C,,
1270,At what level is the ALLOW_CLIENT_MFA_CACHING parameter configurable in Snowflake?,"A. User
B. Session
C. Account
D. Virtual warehouse",,,
1275,"A size X-Small virtual warehouse ran for 90 seconds, and was shut down. The warehouse was then run for another 30 seconds before being shut down again. How many seconds will be billed?","A. 90 seconds
B. 120 seconds
C. 150 seconds
D. 180 seconds",C,,
1276,Which virtual warehouse configuration is recommended specifically for a steady workload that has no execution lag?,"A. AUTO_RESUME = FALSE
B. AUTO_SUSPEND = 0
C. STATEMENT_TIMEOUT_IN_SECONDS = 3600
D. MIN_CLUSTER_COUNT = 1 -
MAX_CLUSTER_COUNT = 3",B,,
1277,Which role allows a Snowflake user to view table-level storage utilization information from the TABLE_STORAGE_METRICS view by default?,"A. ACCOUNTADMIN
B. SECURITYADMIN
C. SYSADMIN
D. USERADMIN",A,,
1278,This statement is run: SELECT { 'key' : { 'subkey': 'value' }} mycolumn; What notations will retrieve the 'value' from the VARIANT column? (Choose two.),"A. mycolumn.key.subkey
B. mycolumn.key:subkey
C. mycolumn:key.subkey
D. mycolumn['key'].subkey
E. mycolumn:key:subkey","C,E",,
1279,Which multi-cluster virtual warehouse setting will help process queued queries as quickly as possible?,"A. An economy scaling policy
B. A standard scaling policy
C. Maximized mode
D. Auto-scale mode",B,,
1280,Which Snowflake tool provides detailed execution statistics of a query with no cost to the user?,"A. Query Profile
B. Query history
C. Visualization chart
D. Query acceleration service",A,,
1282,Which table type is used in the file processing pipeline to process unstructured data in Snowflake?,"A. Temporary
B. Directory
C. Standard
D. Transient",B,,
1283,Which metrics in the QUERY_HISTORY Account _Usage View can be used to assess the pruning efficiency of a query? (Choose two.),"A. EXECUTION_TIME
B. PARTITIONS_TOTAL
C. COMPILATION_TIME
D. TOTAL_ELAPSED_TIME
E. PARTITIONS_SCANNED","B,E",,
1284,How should a data provider securely share Snowflake objects with a data consumer who does not have a Snowflake account?,"A. Give the consumer owner's rights on the provider's Snowflake account.
B. Unload the data into the consumer's cloud storage.
C. Create a reader account for the consumer.
D. Create and replicate a share, then give the consumer access to the replication.",C,,
1285,"When unloading Snowflake relational data to a Parquet file format, why should the PARTITION BY clause be used?","A. It will provide a mechanism to encrypt each micro-partition with a unique key.
B. It will guarantee data integrity by splitting the data into smaller, manageable chunks.
C. It will increase storage efficiency by automatically compressing data based on access patterns.
D. It will optimize query performance by filtering relevant partitions without scanning the entire dataset.",D,,
1286,How can a user access information about a query execution plan without consuming virtual warehouse compute resources?,"A. Use the EXPLAIN function.
B. Review the Query Profile metrics.
C. Review the data in the Account_Usage view.
D. Use the Snowsight dashboard.
Hide Answer
by  MultiCloudIronMan at Jan. 10, 2025, 8:12 p.m.
Comments
ViniJsr4 months, 1 week ago
Selected Answer: A
EXPLAIN compiles the SQL statement, but does not execute it, so EXPLAIN does not require a running warehouse.
https://docs.snowflake.com/en/sql-reference/sql/explain
upvoted 1 times
ywan16004 months, 1 week ago
Selected Answer: A
A. Use the EXPLAIN function.
upvoted 1 times
37ceea25 months ago
Selected Answer: B
Plan is available in Query Profile, as well.
upvoted 1 times",B,,
1287,"If a query is being used to unload a 1 TB table into a stage, which DML operator will be shown in the Query Profile?","A. INSERT
B. UNLOAD
C. COPY
D. UPDATE",D,,
1288,At what levels can network policies be defined in Snowflake? (Choose two.),"A. User
B. Account
C. Table
D. Schema
E. Database","A,B",,
1289,A Snowflake table that is loaded using a Kafka connector has a schema consisting of which two VARIANT columns? (Choose two.),"A. RECORD_TIMESTAMP
B. RECORD_CONTENT
C. RECORD_KEY
D. RECORD_SESSION
E. RECORD_METADATA 
Hide Answer
by  MultiCloudIronMan at Jan. 10, 2025, 8:21 p.m.
Comments
Billhardy2 months, 2 weeks ago
Selected Answer: BE
The two VARIANT columns are:
RECORD_CONTENT
RECORD_METADATA
Every Snowflake table loaded by the Kafka connector (via Snowpipe or Snowpipe Streaming) uses exactly these two VARIANT columns by default.
upvoted 1 times
ViniJsr4 months, 1 week ago
B. RECORD_CONTENT and E. RECORD_METADATA
upvoted 1 times
37ceea25 months ago","B,E",,
1290,"When working with table MY_TABLE that contains 10 rows, which sampling query will always return exactly 5 rows?","A. SELECT * FROM MY_TABLE SAMPLE SYSTEM (5);
B. SELECT * FROM MY_TABLE SAMPLE BERNOULLI (5);
C. SELECT * FROM MY_TABLE SAMPLE (5 ROWS);
D. SELECT * FROM MY_TABLE SAMPLE SYSTEM (1) SEED (5);",C,,
1291,How can files in a stage be loaded after the file metadata has expired? (Choose two.),"A. Set the LOAD_UNCERTAIN_FILES option to TRUE.
B. Remove the files from the stage and reload them.
C. Set the FORCE parameter to TRUE.
D. Truncate the target table and reload the files.
E. Use the ALTER TABLE...REFRESH command
Hide Answer
by  MultiCloudIronMan at Jan. 10, 2025, 8:25 p.m.
Comments
Billhardy2 months, 2 weeks ago
Selected Answer: AC
A. Set the LOAD_UNCERTAIN_FILES option to TRUE.
C. Set the FORCE parameter to TRUE.
upvoted 1 times","A,C",,
1292,How should a Snowflake user access a third-party SaaS service to process unstructured data?,"A. Use internal functions.
B. Use external functions.
C. Use process functions.
D. Use an API gateway.",D,,
1294,Which command will list all of the dropped accounts in an organization that have not been deleted?,"A. SHOW MANAGED ACCOUNTS;
B. SHOW ORGANIZATION ACCOUNTS;
C. SHOW ORGANIZATION ACCOUNTS HISTORY;
D. SHOW ORGANIZATION ACCOUNTS LIKE 'myaccounts%';",C,,
1295,What privileges are required to activate a network policy for an individual user within a Snowflake account?,"A. A user with a role that has been granted the global ATTACH POLICY privilege
B. A user with a role that has been granted the CREATE SESSION POLICY privilege
C. A user with a role that has been granted the CREATE NETWORK POLICY privilege
D. A user with a role that has been granted the OWNERSHIP privilege on both the user and the network policy",D,,
1296,How does Snowflake use Multi-Factor Authentication (MFA)?,"A. MFA is an integrated feature powered by the Duo Security service.
B. MFA is enabled by default for any user having the ACCOUNTADMIN role.
C. An MFA login is designed to log in to Snowflake only through Snowsight.
D. MFA is enabled by default for each user and does not require activation.
Hide Answer
by  MultiCloudIronMan at Jan. 10, 2025, 8:30 p.m.
Comments
Billhardy2 months, 2 weeks ago
Selected Answer: A
Why the Other Options Are Incorrect
B. Enabled by default for ACCOUNTADMIN:
MFA for ACCOUNTADMIN is only recommended, not automatically on.
C. Only through Snowsight:
MFA is fully supported by CLI and all drivers, not just the web UI.
D. Enabled by default for every user:
Users must enroll themselves; MFA is not on by default in existing accounts.
upvoted 1 times",A,,
1297,Which command is used to download data from Snowflake to a client machine?,"A. COPY INTO [location]
B. PUT
C. DROP
D. GET",D,,
1299,"Which Snowflake data governance feature supports the tracking of sensitive data for compliance, discovery, protection, and resource usage?","A. Row access policies
B. Data classification
C. Object dependencies
D. Object tagging",D,,
1301,Which query metric can be used to monitor the health of a large table?,"A. Clustering depth
B. Clustering key
C. Total partition count
D. Total number of rows",A,,
1302,What function should be used to convert JSON NULL values to SQL NULL values when loading data into a Snowflake table?,"A. STRIP_OUTER_ARRAYS
B. STRIP_NULL_VALUE
C. FLATTEN
D. PARSE_JSON",B,,
1303,What is the recommended way to insert a VARIANT value into a Snowflake table?,"A. Use a SELECT statement to convert data to a VARIANT data type before inserting it.
B. Use the TO_VARIANT function in the INSERT statement.
C. Cast the data to a VARIANT data type within the INSERT statement.
D. Use a subquery to convert the data to a VARIANT data type and then insert it.",,,
1304,Which process does Snowflake follow when a stored procedure with owner's rights is called within a session?,"A. The procedure will be run with the privileges of the caller.
B. The owner can set the caller's session variables.
C. The owner will inherit the caller's current virtual warehouse.
D. The owner can view the caller's session variables.",B,,
1305,Which view can be used to track the read and write operations that have been performed on a table?,"A. COPY_HISTORY
B. ACCESS_HISTORY
C. QUERY_HISTORY
D. TASK_HISTORY",B,,
1306,What object does Snowflake recommend using when planning to unload similarly-formatted data on a regular basis?,"A. Stream
B. Task
C. Storage integration
D. Named file format",,,
1308,Which configuration of the function PARSE_JSON( [expr] ) will retrieve a valid SQL NULL value?,"A. SELECT parse_json(NULL)
B. SELECT parse_json('null')
C. SELECT parse_json('[ null ]')
D. SELECT parse_json('{""a"": null}'):a",A,,
1309,What is the MINIMUM Snowflake edition that supports the periodic rekeying of encrypted data?,"A. Standard
B. Enterprise
C. Business Critical
D. Virtual Private Snowflake (VPS)",B,,
1310,"While preparing to unload data in Snowflake, the file format option can be specified in which commands? (Choose two.)","A. GET
B. CREATE STAGE
C. PUT
D. COPY INTO [location]
E. CREATE PIPE",BD,,
1311,Which Query Profile operator provides information on pruning efficiency?,"A. TableScan
B. ExternalScan
C. InternalObject
D. Generator",A,,
1312,What metadata is stored for each micro-partition? (Choose two.),"A. The number of distinct values
B. The clustering key used in the table
C. The average depth of values for each of the columns
D. The range of values for each of the columns in the full table
E. The minimum and maximum values for each of the columns",A,,
1314,How is data protected in Snowflake throughout its lifecycle? (Choose two.),"A. Users are responsible for encrypting data before uploading to Snowflake.
B. Snowflake automatically tags and masks Personal Identifiable Information (PII).
C. Snowflake automatically encrypts data locally before copying the data to the cloud over an encrypted connection.
D. Snowflake automatically rotates keys pairs regularly, using a hierarchical key model stored in a hardware security module.
E. Users are responsible for uploading and configuring key pair rotation schedules and key sizes to encrypt stored data.
Hide Answer
by  MultiCloudIronMan at Jan. 11, 2025, 1:58 p.m.
Comments
Billhardy2 months, 2 weeks ago
Selected Answer: CD
C. Local and In‑Transit Encryption
Snowflake’s client library automatically encrypts files on the user’s local machine before they’re sent to an internal stage. In addition, all data in
transit is protected via TLS, ensuring end‑to‑end encryption before the data even reaches Snowflake’s cloud storage.
D. Automated Key Rotation with HSMs
Snowflake uses a hierarchical key model—root keys, account master keys, table master keys, and file keys—all managed in FIPS‑validated hardware
security modules (HSMs). The service automatically rotates these keys on a regular schedule and can periodically re‑encrypt stored data
(“rekeying”) without any customer intervention.
upvoted 2 times",CD,,
1315,Which Snowflake virtual warehouse configuration enables horizontal scaling?,"A. Increasing the WAREHOUSE_SIZE.
B. Increasing the MAX_CLUSTER_COUNT.
C. Increasing the MAX_CONCURRENCY_LEVEL.
D. Increasing the MIN_CLUSTER_COUNT.",B,,
1317,Which object consumes Snowflake credits for its maintenance?,"A. Materialized view
B. View
C. External table
D. Table",A,,
1319,A team is developing a machine learning model by training on the latest Snowflake features. The training is taking much longer than expected to complete. Which step will accelerate the model training?,"A. Increase the size of the virtual warehouse.
B. Add additional clusters to the virtual warehouse.
C. Use a Snowpark-optimized virtual warehouse.
D. Enable the query acceleration service.",C,,
1327,What is a fundamental characteristic of Snowflake micro-partitions?,"A. They can be read directly as files.
B. They serve as an index for Snowflake tables.
C. They are sized based on Time Travel requirements.
D. Once established, they cannot be changed.",D,,
1330,Which Snowflake objects use storage? (Choose two.),"A. Regular table
B. Regular view
C. Cached query result
D. Materialized view
E. External table",AD,,
1332,Which Snowflake multi-cluster virtual warehouse scaling policy or mode will MINIMIZE query queuing by prioritizing the startup of additional clusters?,"A. Economy policy
B. Standard policy
C. Auto-scale mode
D. Maximized mode",B,,
1333,Which default warehouse configuration has the highest precedence whenever a new session is created by a user?,"A. Default warehouse for the user
B. Default warehouse in the configuration file of the client utilities
C. Default warehouse specified on a CLI or in drivers/connectors parameters
D. Default warehouse of the role assigned to the user",C,,
